image,status,texts,raw_texts,scores,boxes,destination,note
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740111913554-732273503.jpeg,ocr_empty,,37K219622,0.883,"[117, 344, 218, 368]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740111913554-732273503.jpeg,All OCR texts are empty. Rejected raw OCR: 37K219622
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740114285755-677397496.jpeg,ok,37N-01617,,0.666,"[146, 352, 186, 376]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740115253750-962684652.jpg,ok,37H-04588,,0.925,"[540, 1512, 959, 1742]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740116997407-903658116.jpeg,ok,29ED-26611,,0.911,"[111, 359, 226, 418]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740118411297-923364126.jpeg,ok,15C-05813,,0.922,"[116, 337, 217, 391]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740119203115-622372049.jpeg,ocr_empty,,67C563M0,0.755,"[122, 355, 198, 379]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740119203115-622372049.jpeg,All OCR texts are empty. Rejected raw OCR: 67C563M0
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740119731044-485792525.jpg,ok,90C-13016,,0.948,"[1016, 829, 1618, 1122]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740124056755-286017483.jpg,ocr_empty,,7M,0.884,"[681, 2239, 1365, 2451]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740124056755-286017483.jpg,All OCR texts are empty. Rejected raw OCR: 7M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740125749933-257039242.jpeg,ok,37H-05999,,0.907,"[126, 353, 215, 403]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740126231555-659284471.jpeg,ok,37H-01617,,0.920,"[127, 357, 210, 402]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740126774166-70724201.jpeg,ok,37C-19771,,0.912,"[116, 356, 206, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740127839381-303864424.jpg,ok,37C-48875,,0.875,"[491, 1566, 925, 1682]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740128708641-805911493.jpeg,ok,98BD-00726,,0.894,"[107, 367, 229, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740129851653-962002273.jpg,ok,37T-9771,,0.930,"[830, 2303, 1336, 2594]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740130144455-203100596.jpeg,ok,15C-30370,,0.919,"[118, 336, 220, 388]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740131109256-877269925.jpg,ok,37C-20568,,0.929,"[1357, 2175, 1957, 2483]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740131129831-751134503.jpeg,ok,35H-02056,,0.892,"[108, 334, 220, 392]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740131577960-204344702.jpg,ok,29T-0971,,0.946,"[796, 2480, 1629, 2691]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740132671807-432672854.jpg,ok,37CD-001.43,,0.899,"[753, 2354, 1350, 2521]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740132912813-295609816.jpeg,ok,35H-02177,,0.929,"[116, 351, 207, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740134684953-243667423.jpeg,ok,34C-20886,,0.941,"[96, 363, 210, 420]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740136267687-492183148.jpg,ok,24CT-07428,,0.970,"[496, 474, 862, 650]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740139947778-542606618.jpg,ok,29A-02101,,0.933,"[521, 2168, 1709, 2476]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740145658491-147630167.jpg,ok,37T-12188 | , | ,0.835 | 0.512,"[389, 902, 663, 982] | [0, 905, 147, 1029]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740149103974-343719819.jpg,ocr_empty,,20DT14838N,0.818,"[635, 2304, 1454, 2497]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740149103974-343719819.jpg,All OCR texts are empty. Rejected raw OCR: 20DT14838N
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740158679902-532395109.jpeg,ok,29D-4065,,0.953,"[74, 348, 262, 395]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740160764017-693062374.jpg,ok,89CD-002.13,,0.870,"[260, 280, 449, 329]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740162361150-793394303.jpg,ok,29D-4065 | , | ,0.805 | 0.505,"[521, 2287, 1505, 2542] | [849, 1958, 1574, 2291]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740162482976-116528076.jpeg,ok,37T-0368,,0.414,"[6, 331, 295, 415]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740164574246-977902917.jpeg,ok,34C-20960,,0.731,"[122, 345, 201, 385]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740186565280-832962762.jpeg,ocr_empty,,94AC7H05999,0.935,"[139, 346, 201, 381]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740186565280-832962762.jpeg,All OCR texts are empty. Rejected raw OCR: 94AC7H05999
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740189593732-884894444.jpeg,ocr_empty,,44BC73C27197,0.920,"[130, 360, 207, 407]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740189593732-884894444.jpeg,All OCR texts are empty. Rejected raw OCR: 44BC73C27197
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740192729641-810744087.jpeg,ok,37C-20667,,0.908,"[105, 351, 226, 412]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740193889412-591207342.jpg,ocr_empty,,89MD4516P,0.879,"[463, 1542, 926, 1661]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740193889412-591207342.jpg,All OCR texts are empty. Rejected raw OCR: 89MD4516P
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740194020807-863062735.jpg,ok,37H-02621,,0.831,"[715, 2283, 1290, 2583]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740208143939-323061886.jpg,ocr_empty,,5045,0.936,"[82, 1093, 849, 1274]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740208143939-323061886.jpg,All OCR texts are empty. Rejected raw OCR: 5045
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740208607848-709862228.jpg,ocr_empty,,372B4,0.925,"[238, 1148, 859, 1289]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740208607848-709862228.jpg,All OCR texts are empty. Rejected raw OCR: 372B4
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740209745170-297087094.jpeg,ok,29XK-2422,,0.927,"[71, 345, 263, 384]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740211623725-847677033.jpg,ok,37MH-02621,,0.921,"[843, 2297, 1327, 2558]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740217083465-462225277.jpg,ok,37F-00594,,0.922,"[972, 2421, 1463, 2705]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740222807241-116434987.jpg,ok,37C-26432,,0.976,"[606, 2086, 1654, 2637]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740225568582-911620931.jpg,ok,36H-03712,,0.926,"[589, 691, 849, 827]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740227246279-672329573.jpg,ocr_empty, |  |  | ,MMM0 | 6MM9111 | D | 60,0.906 | 0.449 | 0.335 | 0.299,"[552, 577, 989, 684] | [617, 184, 912, 406] | [397, 619, 540, 705] | [962, 605, 1096, 679]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740227246279-672329573.jpg,All OCR texts are empty. Rejected raw OCR: MMM0 | 6MM9111 | D | 60
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740227448480-206235652.jpg,ocr_empty,,M,0.716,"[450, 456, 1022, 592]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740227448480-206235652.jpg,All OCR texts are empty. Rejected raw OCR: M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740227586453-596270065.jpg,ocr_empty,,49A442E,0.819,"[561, 466, 1031, 705]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740227586453-596270065.jpg,All OCR texts are empty. Rejected raw OCR: 49A442E
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740228294454-761273732.jpeg,ok,29T-0749,,0.449,"[14, 335, 317, 403]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740228475329-1465176.jpeg,ocr_empty,,4NAA429K04351M233313MM2XKKK,0.912,"[103, 360, 230, 395]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740228475329-1465176.jpeg,All OCR texts are empty. Rejected raw OCR: 4NAA429K04351M233313MM2XKKK
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740228811790-121253599.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740228811790-121253599.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740231675118-977510916.jpeg,ok,34C-20963,,0.854,"[132, 371, 196, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740231682756-213066795.jpg,ok,98CD-307.92,,0.894,"[438, 1027, 615, 1133]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740231816845-15939985.jpeg,ocr_empty,,34Z-0946,0.957,"[101, 362, 224, 426]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740231816845-15939985.jpeg,All OCR texts are empty. Rejected raw OCR: 34Z-0946
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740231919011-376988928.jpg,ok,98C-30792 | , | ,0.895 | 0.272,"[534, 618, 724, 728] | [1118, 0, 1279, 176]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740232057751-414744923.jpg,ok,29C-80600,,0.873,"[561, 720, 770, 832]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740234516057-908793508.jpg,ocr_empty,,027M084,0.964,"[369, 2501, 1722, 2811]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740234516057-908793508.jpg,All OCR texts are empty. Rejected raw OCR: 027M084
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740234727573-114874577.jpg,ok,37C-36509 | , | M,0.913 | 0.320,"[420, 665, 563, 709] | [0, 388, 84, 473]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740238352914-863538174.jpeg,ok,29K-04351,,0.912,"[110, 351, 230, 383]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740249080252-343864523.jpeg,ok,29T-0749,,0.974,"[66, 353, 269, 402]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740271910873-69919893.jpg,ocr_empty,,73155,0.918,"[556, 1977, 1246, 2158]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740271910873-69919893.jpg,All OCR texts are empty. Rejected raw OCR: 73155
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740274026353-434320129.jpeg,ocr_empty,,990057,0.937,"[95, 367, 229, 407]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740274026353-434320129.jpeg,All OCR texts are empty. Rejected raw OCR: 990057
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740280176627-595268958.jpg,ok,37H-03606,,0.886,"[808, 2213, 1455, 2585]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740285101674-448301520.jpg,ok,15H-01797,,0.983,"[569, 2150, 1424, 2567]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740296877331-208870373.jpeg,ok,37G-00160,,0.933,"[125, 347, 216, 394]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740299244622-157068163.jpg,ok,37A-84120,,0.891,"[824, 2024, 1150, 2199]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740300386635-139889985.jpeg,ok,36C-07298,,0.932,"[124, 358, 202, 379]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740300934211-811769024.jpg,ok,37CC-42428,,0.951,"[633, 2112, 1552, 2571]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740310839442-947374958.jpg,ocr_empty,,M56,0.910,"[600, 657, 880, 749]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740310839442-947374958.jpg,All OCR texts are empty. Rejected raw OCR: M56
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740312445446-340381790.jpg,ok,29H-85270,,0.886,"[247, 929, 405, 1017]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740312612757-499450513.jpg,ok,99D-21978 | , | ,0.979 | 0.289,"[569, 548, 853, 704] | [943, 624, 1075, 705]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740313340682-130536425.jpg,ok,29CD-005.82,,0.561,"[850, 2283, 1879, 2649]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740320145927-840771203.jpg,ok,34C-11405,,0.938,"[505, 870, 611, 948]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740325397888-630669352.jpeg,ok,29H-85001,,0.864,"[131, 368, 214, 419]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740328998858-894214075.jpg,ocr_empty,,98BC0000108,0.921,"[132, 259, 802, 634]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740328998858-894214075.jpg,All OCR texts are empty. Rejected raw OCR: 98BC0000108
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740337354493-331041726.jpg,ok,29D-2101,,0.905,"[730, 2327, 1576, 2547]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740356561665-189834656.jpeg,ok,36A-9173,,0.884,"[114, 356, 224, 386]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740358540577-210142409.jpg,ok,37M-03941,,0.984,"[416, 1989, 1758, 2682]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740359364393-990265941.jpeg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740359364393-990265941.jpeg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740359364965-393445623.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740359364965-393445623.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740359966012-88978134.jpg,ok,37C-19815,,0.960,"[500, 2119, 1579, 2569]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740361362623-324164858.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740361362623-324164858.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740362788382-218709724.jpeg,ok,36C-49173,,0.817,"[128, 359, 219, 385]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740369631469-94212528.jpg,ok,37H-02657 | , | ,0.973 | 0.655,"[523, 2194, 1413, 2639] | [1500, 2145, 1902, 2373]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740371435837-826854147.jpg,ocr_empty,,88BC00162M,0.908,"[284, 3441, 1012, 3794]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740371435837-826854147.jpg,All OCR texts are empty. Rejected raw OCR: 88BC00162M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740379413466-544593003.jpg,ok,37MH-03727,,0.931,"[739, 2307, 1336, 2596]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740383741742-298332711.jpeg,ok,15C-05659,,0.979,"[74, 332, 263, 412]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740385301183-172317371.jpg,ok,37C-52734,,0.776,"[1356, 2448, 1957, 2678]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740387284176-883385075.jpeg,ok,35H-02196,,0.936,"[100, 357, 220, 413]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740389068193-341587332.jpeg,ok,20C-26999,,0.888,"[118, 359, 220, 386]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740389455459-125429042.jpg,ok,34C-17747,,0.945,"[388, 1190, 609, 1308]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740401889721-57383398.jpeg,ok,29M-0548,,0.717,"[115, 345, 209, 374]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740405875519-16472301.jpg,ok,37DD-00434,,0.919,"[450, 538, 743, 615]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740407157398-378789458.jpeg,ok,89C-09412,,0.770,"[115, 338, 200, 399]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740408465597-843286664.jpg,ok,20H-00002,,0.931,"[846, 2313, 1464, 2657]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740410739244-626229547.jpeg,ok,29CD-005.88,,0.940,"[139, 345, 207, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740412467164-369091406.jpeg,ok,23D-02505,,0.876,"[114, 372, 226, 402]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740414110470-46169141.jpg,ok,29CD-024.06,,0.874,"[727, 2403, 1429, 2597]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740414184690-803668493.jpeg,ok,29CD-024.06,,0.758,"[114, 356, 229, 386]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740414751615-944568100.jpg,ocr_empty,,30D0069M,0.654,"[763, 2206, 1448, 2421]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740414751615-944568100.jpg,All OCR texts are empty. Rejected raw OCR: 30D0069M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740424820225-755618538.jpg,ok,29A-0207,,0.854,"[787, 2467, 1569, 2672]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740439924535-141948737.jpg,ok,34C-20940,,0.915,"[375, 1173, 620, 1299]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740444947824-864755597.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740444947824-864755597.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740446992330-32729050.jpg,ok,37C-14646,,0.907,"[1327, 1548, 1880, 1835]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740447835033-552069540.jpeg,ok,98BC-22915 | , | ,0.966 | 0.341,"[103, 368, 243, 441] | [150, 448, 194, 480]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740450503108-60298700.jpeg,ok,99C-30318,,0.930,"[115, 381, 190, 428]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740453495467-202897495.jpeg,ok,98BC-06069,,0.916,"[124, 376, 208, 423]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740467386647-603436123.jpg,ok,99C-20306,,0.891,"[491, 1538, 927, 1771]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740468269624-733123550.jpeg,ok,15H-01975,,0.879,"[116, 375, 217, 431]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740469552960-682661035.jpg,ocr_empty,,292527,0.913,"[748, 2319, 1322, 2455]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740469552960-682661035.jpg,All OCR texts are empty. Rejected raw OCR: 292527
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740469642939-942946115.jpg,ok,99H-02387,,0.944,"[700, 2235, 1349, 2595]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740473319909-217778821.jpg,ok,89H-01439,,0.938,"[514, 1525, 958, 1751]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740475204427-39356273.jpg,ok,15H-01928,,0.936,"[579, 2046, 1177, 2364]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740475870298-780070178.jpeg,ok,35E-00630,,0.908,"[123, 358, 210, 402]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740476316093-989686933.jpg,ocr_empty,,MMM9837,0.918,"[493, 2057, 1234, 2245]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740476316093-989686933.jpg,All OCR texts are empty. Rejected raw OCR: MMM9837
